"1 KESSLER CASADEVALL, FI",4720,07/03/2014,29,"GVC GAESCO GESTIÓN, SGIIC, S.A.","SANTANDER SECURITIES SERVICES, S.A."
"A&G TESORERIA, FI",3989,28/03/2008,195,"A&G FONDOS, SGIIC, SA","SANTANDER SECURITIES SERVICES, S.A."
ABACO GLOBAL VALUE OPPORTUNITIES FI,4827,14/11/2014,238,"ABACO CAPITAL, SGIIC, S.A.","UBS BANK, S.A."
"ABACO RENTA FIJA MIXTA GLOBAL, FI",4474,11/05/2012,238,"ABACO CAPITAL, SGIIC, S.A.","UBS BANK, S.A."
"ABANCA FONDEPOSITO, FI",3978,07/03/2008,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ABANCA GESTION, FI",4676,03/12/2013,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ABANCA RENTA FIJA CORTO PLAZO, FI",3988,28/03/2008,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ABANCA RENTA FIJA FLEXIBLE, FI",3682,24/11/2006,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ABANCA RENTA FIJA MIXTA, FI",4808,10/10/2014,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ABANCA RENTA VARIABLE ESPAÑA, FI",4807,10/10/2014,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ABANCA RENTA VARIABLE EUROPA, FI",1540,31/07/1998,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ABANCA RENTA VARIABLE MIXTA, FI",451,17/01/1994,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ABANDO EQUITIES, FI",4013,14/05/2008,206,"DUX INVERSORES, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE ASESORES GLOBAL, FI",2562,08/03/2002,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE BOLSA ABSOLUTA, FI",3166,15/04/2005,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE BOLSA, FI",2560,08/03/2002,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE PATRIMONIO GLOBAL, FI",2863,06/11/2003,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE RENTA, FI",3170,15/04/2005,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE RENTABILIDAD ABSOLUTA, FI",2776,30/05/2003,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE SELECCION, FI",2561,08/03/2002,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE TESORERIA, FI",3590,24/10/2006,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
"ABANTE VALOR, FI",2623,17/10/2002,194,"ABANTE ASESORES GESTION, SGIIC, S.A.","BANKINTER, S.A."
ACACIA BONOMIX FI,4335,22/03/2011,234,"ACACIA INVERSION, SGIIC, S.A.","BANKINTER, S.A."
"ACACIA GLOBALMIX 60-90, FI",4984,15/04/2016,234,"ACACIA INVERSION, SGIIC, S.A.","BANKINTER, S.A."
"ACACIA INVERMIX 30-60, FI",4983,15/04/2016,234,"ACACIA INVERSION, SGIIC, S.A.","BANKINTER, S.A."
ACACIA PREMIUM FI,4337,22/03/2011,234,"ACACIA INVERSION, SGIIC, S.A.","BANKINTER, S.A."
ACACIA REINVERPLUS EUROPA FI,4336,22/03/2011,234,"ACACIA INVERSION, SGIIC, S.A.","BANKINTER, S.A."
"ACACIA RENTA DINAMICA, FI",4376,10/06/2011,234,"ACACIA INVERSION, SGIIC, S.A.","BANKINTER, S.A."
"ACCION BRASIL ETF, FI COTIZADO (EN LIQUIDACION)",3874,20/07/2007,14,"BBVA ASSET MANAGEMENT, S.A., SGIIC","BANCO DEPOSITARIO BBVA, S.A."
"ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO",3596,31/10/2006,14,"BBVA ASSET MANAGEMENT, S.A., SGIIC","BANCO DEPOSITARIO BBVA, S.A."
"ACCION IBEX 35 ETF, FI COTIZADO ARMONIZADO",3499,14/07/2006,14,"BBVA ASSET MANAGEMENT, S.A., SGIIC","BANCO DEPOSITARIO BBVA, S.A."
"ACCION LATAM TOP ETF, FI COTIZADO (EN LIQUIDACION)",3875,20/07/2007,14,"BBVA ASSET MANAGEMENT, S.A., SGIIC","BANCO DEPOSITARIO BBVA, S.A."
"ADRIZA ALFA, FI",4692,24/01/2014,223,"TRESSIS GESTION, S.G.I.I.C., S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ADRIZA GLOBAL, FI",4634,19/07/2013,223,"TRESSIS GESTION, S.G.I.I.C., S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ADRIZA INTERNATIONAL OPPORTUNITIES FUND, FI",4907,02/10/2015,223,"TRESSIS GESTION, S.G.I.I.C., S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ADRIZA NEUTRAL, FI",4231,14/05/2010,223,"TRESSIS GESTION, S.G.I.I.C., S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"AEGON INVERSION MF, FI",444,30/12/1993,98,"INVERSEGUROS GESTION, S.A., S.G.I.I.C.","INVERSEGUROS SOCIEDAD DE VALORES, S.A."
"AEGON INVERSION MV, FI",445,30/12/1993,98,"INVERSEGUROS GESTION, S.A., S.G.I.I.C.","INVERSEGUROS SOCIEDAD DE VALORES, S.A."
"AHORROFONDO, FI",30,04/11/1986,128,"IMANTIA CAPITAL, S.G.I.I.C., S.A.","CECABANK, S.A."
"ALBUS, FI",4121,03/04/2009,15,"CAIXABANK ASSET MANAGEMENT SGIIC, S.A.","CECABANK, S.A."
"ALCALA ACCIONES, FI",252,11/07/1991,137,"GESALCALA, S.A., S.G.I.I.C.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ALCALA AHORRO, FI",737,07/11/1996,137,"GESALCALA, S.A., S.G.I.I.C.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ALCALA BOLSA MIXTO, FI",738,07/11/1996,137,"GESALCALA, S.A., S.G.I.I.C.","RBC INVESTOR SERVICES ESPAÑA, S.A."
ALCALA GESTION ACTIVA FI,352,24/09/1992,137,"GESALCALA, S.A., S.G.I.I.C.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ALCALA GLOBAL, FI",1091,08/07/1997,137,"GESALCALA, S.A., S.G.I.I.C.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ALCALA INSTITUCIONAL, FI",4147,29/06/2009,137,"GESALCALA, S.A., S.G.I.I.C.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ALCALA MULTIGESTION, FI",3806,12/04/2007,137,"GESALCALA, S.A., S.G.I.I.C.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ALCALA UNO, FI",285,10/12/1991,137,"GESALCALA, S.A., S.G.I.I.C.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ALGAR GLOBAL FUND, FI",4877,12/06/2015,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","RENTA 4 BANCO, S.A."
"ALHAJA INVERSIONES RV MIXTO, FI",4837,09/01/2015,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","RENTA 4 BANCO, S.A."
"ALPHA PLUS GESTION FLEXIBLE, FI",4100,23/01/2009,225,"ALPHA PLUS GESTORA, S.G.I.I.C., S.A.","SANTANDER SECURITIES SERVICES, S.A."
"ALPHA PLUS IBÉRICO ACCIONES, FI",4878,19/06/2015,225,"ALPHA PLUS GESTORA, S.G.I.I.C., S.A.","SANTANDER SECURITIES SERVICES, S.A."
"ALPHA PLUS RENTA FIJA DINAMICA, FI",4099,23/01/2009,225,"ALPHA PLUS GESTORA, S.G.I.I.C., S.A.","SANTANDER SECURITIES SERVICES, S.A."
"ALPHA PLUS RENTABILIDAD ABSOLUTA, FI",4111,25/03/2009,225,"ALPHA PLUS GESTORA, S.G.I.I.C., S.A.","SANTANDER SECURITIES SERVICES, S.A."
"ALTAIR BOLSA, FI",4802,03/10/2014,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"ALTAIR EUROPEAN OPPORTUNITIES, FI",4952,19/02/2016,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"ALTAIR INVERSIONES II, FI",4910,09/10/2015,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"ALTAIR INVERSIONES, FI",2843,12/09/2003,12,"SANTANDER ASSET MANAGEMENT, S.A., SGIIC","SANTANDER SECURITIES SERVICES, S.A."
"ALTAIR PATRIMONIO II, FI",4911,09/10/2015,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"ALTAIR PATRIMONIO, FI",1385,27/03/1998,12,"SANTANDER ASSET MANAGEMENT, S.A., SGIIC","SANTANDER SECURITIES SERVICES, S.A."
"ALTAIR RENTA FIJA, FI",4801,03/10/2014,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AMEINON RENTA FIJA, FI",4700,07/02/2014,223,"TRESSIS GESTION, S.G.I.I.C., S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"AMISTRA GLOBAL, FI",4244,24/06/2010,232,"AMISTRA, SGIIC, S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"AMISTRA PATRIMONIAL, FI",4287,26/11/2010,232,"AMISTRA, SGIIC, S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"AMUNDI CORTO PLAZO, FI",3697,24/11/2006,31,"AMUNDI IBERIA, SGIIC, S.A.","CA INDOSUEZ WEALTH (EUROPE), SUCURSAL EN ESPAÑA"
"AMUNDI ESTRATEGIA BONOS, FI",2831,14/08/2003,31,"AMUNDI IBERIA, SGIIC, S.A.","CA INDOSUEZ WEALTH (EUROPE), SUCURSAL EN ESPAÑA"
"AMUNDI ESTRATEGIA GLOBAL, FI",547,21/02/1995,31,"AMUNDI IBERIA, SGIIC, S.A.","CA INDOSUEZ WEALTH (EUROPE), SUCURSAL EN ESPAÑA"
"AMUNDI FONDTESORO LARGO PLAZO, FI",191,06/09/1990,31,"AMUNDI IBERIA, SGIIC, S.A.","CA INDOSUEZ WEALTH (EUROPE), SUCURSAL EN ESPAÑA"
"ANNAPURNA, FI",4453,09/03/2012,105,"INVERSIS GESTIÓN, S.A., SGIIC","BANCO INVERSIS, S.A."
"ANNUALCYCLES STRATEGIES, FI",4269,25/10/2010,37,"GESIURIS ASSET MANAGEMENT, SGIIC, S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ARGOS CAPITAL, FI",4295,16/12/2010,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","RENTA 4 BANCO, S.A."
"ARQUIUNO BOLSA, FI",4792,14/08/2014,36,"ARQUIGEST, S.A., S.G.I.I.C.",CAJA DE ARQUITECTOS S. COOP. DE CREDITO
ARQUIUNO DINAMICO 100RV FI,4982,08/04/2016,36,"ARQUIGEST, S.A., S.G.I.I.C.",CAJA DE ARQUITECTOS S. COOP. DE CREDITO
ARQUIUNO EQUILIBRADO 60RV FI,4981,08/04/2016,36,"ARQUIGEST, S.A., S.G.I.I.C.",CAJA DE ARQUITECTOS S. COOP. DE CREDITO
ARQUIUNO PRUDENTE 30RV FI,4979,08/04/2016,36,"ARQUIGEST, S.A., S.G.I.I.C.",CAJA DE ARQUITECTOS S. COOP. DE CREDITO
ARQUIUNO RENTA VARIABLE MIXTA FI,4601,10/05/2013,36,"ARQUIGEST, S.A., S.G.I.I.C.",CAJA DE ARQUITECTOS S. COOP. DE CREDITO
"ARQUIUNO, FI",88,13/01/1988,36,"ARQUIGEST, S.A., S.G.I.I.C.",CAJA DE ARQUITECTOS S. COOP. DE CREDITO
"ARTE FINANCIERO, FI",1110,21/07/1997,113,"NOVO BANCO GESTION, SGIIC, S.A.","NOVO BANCO, S.A., SUCURSAL EN ESPAÑA"
"ATL CAPITAL BEST MANAGERS, FI",3280,05/10/2005,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
"ATL CAPITAL CARTERA DINAMICA, FI",3943,21/12/2007,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
"ATL CAPITAL CARTERA PATRIMONIO, FI",3941,21/12/2007,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
"ATL CAPITAL CARTERA RENTA VARIABLE, FI",4800,03/10/2014,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
"ATL CAPITAL CARTERA TACTICA, FI",3942,21/12/2007,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
"ATL CAPITAL LIQUIDEZ, FI",3282,05/10/2005,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
"ATL CAPITAL QUANT 25, FI",4504,06/07/2012,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
"ATL CAPITAL QUANT 5, FI",4497,08/06/2012,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
"ATL CAPITAL RENTA FIJA, FI",4104,20/02/2009,210,"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.","BANKINTER, S.A."
ATTITUDE OPPORTUNITIES FI,4359,29/04/2011,185,"UBS GESTION, S.G.I.I.C., S.A.","UBS BANK, S.A."
"AURUM RENTA VARIABLE, FI",3245,29/07/2005,182,"POPULAR GESTION PRIVADA, S.G.I.I.C., S.A.","RBC INVESTOR SERVICES ESPAÑA, S.A."
"AVANCE GLOBAL, FI",2134,31/05/2000,225,"ALPHA PLUS GESTORA, S.G.I.I.C., S.A.","SANTANDER SECURITIES SERVICES, S.A."
"AVANTAGE FUND, FI",4791,31/07/2014,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","RENTA 4 BANCO, S.A."
"AVIVA CORTO PLAZO, FI",2375,10/05/2001,191,"AVIVA GESTION, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AVIVA ESPABOLSA, FI",2379,10/05/2001,191,"AVIVA GESTION, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AVIVA EUROBOLSA, FI",2377,10/05/2001,191,"AVIVA GESTION, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AVIVA FONVALOR EURO, FI",2376,10/05/2001,191,"AVIVA GESTION, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AVIVA RENTA FIJA, FI",2378,10/05/2001,191,"AVIVA GESTION, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AVIVA RENTA VARIABLE  ZONA NO EURO, FI.",4400,29/09/2011,191,"AVIVA GESTION, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AZVALOR CAPITAL, FI",4916,23/10/2015,224,"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AZVALOR IBERIA, FI",4917,23/10/2015,224,"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AZVALOR INTERNACIONAL, FI",4918,23/10/2015,224,"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"BANCO MADRID AHORRO, FI",2895,17/02/2004,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANCO MADRID DOLPHIN ACCIONES, FI",2859,28/10/2003,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANCO MADRID IBERICO ACCIONES, FI",3868,20/07/2007,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANCO MADRID RENTA FIJA, FI",2779,06/06/2003,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANCO MADRID SICAV SELECCION, FI",4621,28/06/2013,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANKIA BANCA PRIVADA CORTO PLAZO EURO, FI",2446,06/08/2001,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BANCA PRIVADA INDICE S&P 500, FI",1221,11/11/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BANCA PRIVADA RENTA VARIABLE ESPAÑA, FI",1235,21/11/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BANCA PRIVADA SELECCIÓN, FI",1461,05/06/1998,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BANCA PRIVADA TIPO FIJO GARANTIZADO 2, FI",4454,09/03/2012,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BOLSA ESPAÑOLA, FI",1528,22/07/1998,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BOLSA JAPONESA, FI",1980,05/01/2000,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BOLSA MUNDIAL, FI",2305,26/01/2001,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BOLSA USA, FI",1139,13/08/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BONOS CORTO PLAZO (I), FI",3623,08/11/2006,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
